Critères du service,,Détails préstataire,,,,,,,,,,
Top de site web,url,Niveau prestataire,url,Budget,url,Delai livraison,url,Plateforme ,url,Triez par la plateforme Fiver,url,Exemple requette croisée
Divertissement ,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_type%3Aentertainment,Anglais ,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Aen,,,,,,,,,
Communauté en ligne ,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_type%3Aentertainment,Ourdou,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Aur,,,,,,,,,
Formulaires,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_type%3Aforms,Hindi,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Ahi,,,,,,,,,
Offres d'emploi,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_type%3Ajob_board,Bengali,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Abn,,,,,,,,,
Mariage,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_type%3Awedding,Arabe,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Aar,,,,,,,,,
Podcasting,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_type%3Apodcasting,Punjabi,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Apa,,,,,,,,,
Financment participatif ,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_type%3Acrowdfunding,Russe,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Aru,,,,,,,,,
Brochure,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_type%3Abrochure,Espagnol,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Aes,,,,,,,,,
Wiki Connaissances,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_type%3Awiki_knowledge,Chinois,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Azh,,,,,,,,,
Offre service ,,Gujarati,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Agu,,,,,,,,,
Offre de souscription (payé),https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=subscription%3Atrue,Allemand,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Ade,,,,,,,,,
Consultation vidéo payante,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=offer_consultation%3Atrue,Hebreu,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Ahe,,,,,,,,,
Fonctionnalité site web ,,Turc,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Atr,,,,,,,,,
Réseaux sociaux,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_features%3Asocial_media,Tamoul,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Ata,,,,,,,,,
Paiement,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_features%3Apayment,Ukrainien ,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Auk,,,,,,,,,
Marketing ,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_features%3Amarketing,Italien,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Ait,,,,,,,,,
Formulaire,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_features%3Aform,Polonais,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Apl,,,,,,,,,
Assistance client,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_features%3Acustomer_support,Portugais,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Apt,,,,,,,,,
Galerie,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_features%3Agallery,Marathi,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Amr,,,,,,,,,
Livraison,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_features%3Ashipping,Telugu,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Ate,,,,,,,,,
Chat,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_features%3Achat,Persan,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Afa,,,,,,,,,
Inventaire,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_features%3Ainventory,Neanrlandais,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Anl,,,,,,,,,
Statistiques,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_features%3Aanalytics,Malayalam,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Aml,,,,,,,,,
FAQ,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_features%3Afaq,Vietnamien,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Avi,,,,,,,,,
Reservation,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_features%3Abooking,Kanneda,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Akn,,,,,,,,,
Vidéo,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_features%3Avideo,Thai,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Ath,,,,,,,,,
Forum,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_features%3Aforum,Oriya,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Aor,,,,,,,,,
Carte,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_features%3Amap,Birman,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Amy,,,,,,,,,
Adhésion,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_features%3Amembership,Javanais,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=seller_language%3Ajw,,,,,,,,,
Evenements,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_features%3Aevents,,,,,,,,,,,
Calendrier,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_features%3Acalendar,,,,,,,,,,,
Musique,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_features%3Amusic,,,,,,,,,,,
Autres,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=website_features%3Aother,,,,,,,,,,,
Sercice comprennant ,,,,,,,,,,,,
Site web fonctionnel,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=package_includes%3Afunctional_website,,,,,,,,,,,
Telechargement du contenu,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=package_includes%3Acontent_upload,,,,,,,,,,,
Conception réactive ,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=package_includes%3Aresponsive_design,,,,,,,,,,,
Icones de media sociaux,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=package_includes%3Asocial_media_icons,,,,,,,,,,,
Fonctionnalité e-commerce,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=package_includes%3Ae_commerce_functionality,,,,,,,,,,,
Optimisation de la vitesse,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=package_includes%3Aspeed_optimization,,,,,,,,,,,
Traitement des paiement,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=package_includes%3Apayment_processing,,,,,,,,,,,
Formulaire d'inscription,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=package_includes%3Aopt_in_form,,,,,,,,,,,
Configuration de l'hebergement,https://fr.fiverr.com/categories/programming-tech/website-development?source=drop_down_filters&filter=auto&offset=-44&limit=48&ref_ctx_id=d43a99d5e41a4187bb0ab162fb9787a8&showprofessioncampaign=false&ref=package_includes%3Ahosting_setup,,,,,,,,,,,
